name,frost,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Apples,0,2,2,2,2,2,2,1,1,1,1,2,2
Blackberries,0,0,0,0,0,0,0,0,1,0,0,0,0
Blueberries,0,0,0,0,0,0,0,1,1,1,0,0,0
Cantaloupes,0,0,0,0,0,0,0,0,1,1,0,0,0
Cherries,0,0,0,0,0,0,0,1,0,0,0,0,0
Currants,0,0,0,0,0,0,0,0,1,0,0,0,0
Grapes,0,0,0,0,0,0,0,0,0,0,1,1,0
Peaches,0,0,0,0,0,0,0,1,1,1,0,0,0
Pears,0,2,2,0,0,0,0,0,0,1,1,2,2
Plums,0,0,0,0,0,0,0,1,1,1,0,0,0
Prunes,0,0,0,0,0,0,0,0,1,1,0,0,0
Strawberries,0,0,0,0,0,0,1,1,0,0,0,0,0
Raspberries,1,0,0,0,0,0,0,1,0,1,1,0,0
Watermelon,0,0,0,0,0,0,0,0,0,1,1,0,0
